name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"@babel/helper-define-polyfill-provider","0.3.3","0.3.3","git+https://github.com/babel/babel-polyfills.git","2022-09-13T02:18:10.257Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",196511,"MIT",true,false,false,false,false,"babel-plugin-polyfill-corejs2@0.3.3,babel-plugin-polyfill-corejs3@0.6.0,babel-plugin-polyfill-regenerator@0.4.1"
"@babel/helper-environment-visitor","7.18.9","7.18.9","https://github.com/babel/babel.git","2022-07-18T09:17:22.873Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3387,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-module-transforms@7.21.2,@babel/helper-remap-async-to-generator@7.18.9,@babel/helper-replace-supers@7.20.7,@babel/plugin-proposal-async-generator-functions@7.20.7,@babel/plugin-transform-classes@7.21.0,@babel/traverse@7.21.3"
"@babel/helper-explode-assignable-expression","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:09.077Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4332,"MIT",true,false,false,false,false,"@babel/helper-builder-binary-assignment-operator-visitor@7.18.9"
"@babel/helper-function-name","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:10.576Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",21361,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-wrap-function@7.20.5,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-function-name@7.18.9,@babel/traverse@7.21.3"
"@babel/helper-hoist-variables","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:09.361Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3461,"MIT",true,false,false,false,false,"@babel/plugin-transform-modules-systemjs@7.20.11,@babel/traverse@7.21.3"
"@babel/helper-member-expression-to-functions","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:10.601Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",54110,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-replace-supers@7.20.7"
"@babel/helper-module-imports","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:09.669Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",16068,"MIT",true,false,false,false,false,"@babel/helper-module-transforms@7.21.2,@babel/plugin-transform-async-to-generator@7.20.7,@babel/plugin-transform-react-jsx@7.21.0,@babel/plugin-transform-runtime@7.9.0,@babel/preset-env@7.9.0"
"@babel/helper-module-transforms","7.21.2","7.21.2","https://github.com/babel/babel.git","2023-02-23T09:31:38.459Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",146007,"MIT",true,false,false,false,false,"@babel/core@7.9.0,@babel/plugin-transform-modules-amd@7.20.11,@babel/plugin-transform-modules-commonjs@7.21.2,@babel/plugin-transform-modules-systemjs@7.20.11,@babel/plugin-transform-modules-umd@7.18.6"
"@babel/helper-optimise-call-expression","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:11.210Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3300,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-replace-supers@7.20.7,@babel/plugin-transform-classes@7.21.0"
"@babel/helper-plugin-utils","7.20.2","7.20.2","https://github.com/babel/babel.git","2022-11-04T18:51:02.728Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",11854,"MIT",true,false,false,false,false,"@babel/helper-define-polyfill-provider@0.3.3,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.18.6,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.20.7,@babel/plugin-proposal-async-generator-functions@7.20.7,@babel/plugin-proposal-class-properties@7.8.3,@babel/plugin-proposal-class-static-block@7.21.0,@babel/plugin-proposal-decorators@7.8.3,@babel/plugin-proposal-dynamic-import@7.18.6,@babel/plugin-proposal-export-namespace-from@7.18.9,@babel/plugin-proposal-json-strings@7.18.6,@babel/plugin-proposal-logical-assignment-operators@7.20.7,@babel/plugin-proposal-nullish-coalescing-operator@7.8.3,@babel/plugin-proposal-numeric-separator@7.8.3,@babel/plugin-proposal-object-rest-spread@7.20.7,@babel/plugin-proposal-optional-catch-binding@7.18.6,@babel/plugin-proposal-optional-chaining@7.9.0,@babel/plugin-proposal-private-methods@7.18.6,@babel/plugin-proposal-private-property-in-object@7.21.0,@babel/plugin-proposal-unicode-property-regex@7.18.6,@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-class-static-block@7.14.5,@babel/plugin-syntax-decorators@7.21.0,@babel/plugin-syntax-dynamic-import@7.8.3,@babel/plugin-syntax-export-namespace-from@7.8.3,@babel/plugin-syntax-flow@7.18.6,@babel/plugin-syntax-import-assertions@7.20.0,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-jsx@7.18.6,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-private-property-in-object@7.14.5,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.20.0,@babel/plugin-transform-arrow-functions@7.20.7,@babel/plugin-transform-async-to-generator@7.20.7,@babel/plugin-transform-block-scoped-functions@7.18.6,@babel/plugin-transform-block-scoping@7.21.0,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-computed-properties@7.20.7,@babel/plugin-transform-destructuring@7.21.3,@babel/plugin-transform-dotall-regex@7.18.6,@babel/plugin-transform-duplicate-keys@7.18.9,@babel/plugin-transform-exponentiation-operator@7.18.6,@babel/plugin-transform-flow-strip-types@7.9.0,@babel/plugin-transform-for-of@7.21.0,@babel/plugin-transform-function-name@7.18.9,@babel/plugin-transform-literals@7.18.9,@babel/plugin-transform-member-expression-literals@7.18.6,@babel/plugin-transform-modules-amd@7.20.11,@babel/plugin-transform-modules-commonjs@7.21.2,@babel/plugin-transform-modules-systemjs@7.20.11,@babel/plugin-transform-modules-umd@7.18.6,@babel/plugin-transform-named-capturing-groups-regex@7.20.5,@babel/plugin-transform-new-target@7.18.6,@babel/plugin-transform-object-super@7.18.6,@babel/plugin-transform-parameters@7.21.3,@babel/plugin-transform-property-literals@7.18.6,@babel/plugin-transform-react-constant-elements@7.21.3,@babel/plugin-transform-react-display-name@7.8.3,@babel/plugin-transform-react-jsx@7.21.0,@babel/plugin-transform-react-pure-annotations@7.18.6,@babel/plugin-transform-regenerator@7.20.5,@babel/plugin-transform-reserved-words@7.18.6,@babel/plugin-transform-runtime@7.9.0,@babel/plugin-transform-shorthand-properties@7.18.6,@babel/plugin-transform-spread@7.20.7,@babel/plugin-transform-sticky-regex@7.18.6,@babel/plugin-transform-template-literals@7.18.9,@babel/plugin-transform-typeof-symbol@7.18.9,@babel/plugin-transform-typescript@7.21.3,@babel/plugin-transform-unicode-escapes@7.18.10,@babel/plugin-transform-unicode-regex@7.18.6,@babel/preset-env@7.9.0,@babel/preset-modules@0.1.5,@babel/preset-react@7.9.1,@babel/preset-typescript@7.9.0,babel-plugin-istanbul@5.2.0,@babel/plugin-transform-react-jsx-self@7.21.0,@babel/plugin-transform-react-jsx-source@7.19.6"
"@babel/helper-remap-async-to-generator","7.18.9","7.18.9","https://github.com/babel/babel.git","2022-07-18T09:17:42.067Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4538,"MIT",true,false,false,false,false,"@babel/plugin-proposal-async-generator-functions@7.20.7,@babel/plugin-transform-async-to-generator@7.20.7"
"@babel/helper-replace-supers","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:36.384Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",31203,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-object-super@7.18.6"
"@babel/helper-simple-access","7.20.2","7.20.2","https://github.com/babel/babel.git","2022-11-04T18:51:06.638Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",13697,"MIT",true,false,false,false,false,"@babel/helper-module-transforms@7.21.2,@babel/plugin-transform-modules-commonjs@7.21.2"
"@babel/helper-skip-transparent-expression-wrappers","7.20.0","7.20.0","https://github.com/babel/babel.git","2022-10-27T13:19:19.705Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",5878,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.20.7,@babel/plugin-proposal-optional-chaining@7.21.0,@babel/plugin-transform-spread@7.20.7"
"@babel/helper-split-export-declaration","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:11.711Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4389,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-module-transforms@7.21.2,@babel/plugin-transform-classes@7.21.0,@babel/traverse@7.21.3"
"@babel/helper-string-parser","7.19.4","7.19.4","https://github.com/babel/babel.git","2022-10-10T10:47:19.355Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",31709,"MIT",true,false,false,false,false,"@babel/types@7.21.3"
"@babel/helper-validator-identifier","7.19.1","7.19.1","https://github.com/babel/babel.git","2022-09-14T15:29:10.424Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",51652,"MIT",true,false,false,true,false,"@babel/helper-module-transforms@7.21.2,@babel/highlight@7.18.6,@babel/plugin-transform-modules-systemjs@7.20.11,@babel/types@7.21.3"
"@babel/helper-validator-option","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:30:54.382Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",11444,"MIT",true,false,false,false,false,"@babel/helper-compilation-targets@7.20.7,@babel/preset-env@7.20.2,@babel/preset-react@7.18.6"
"@babel/helper-wrap-function","7.20.5","7.20.5","https://github.com/babel/babel.git","2022-11-28T10:12:54.169Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",15175,"MIT",true,false,false,false,false,"@babel/helper-remap-async-to-generator@7.18.9"
"@babel/helpers","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:18.024Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",541716,"MIT",true,false,false,false,false,"@babel/core@7.9.0"
"@babel/highlight","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:49.733Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4907,"MIT",true,false,false,true,false,"@babel/code-frame@7.8.3"
"ansi-styles","3.2.1","6.2.1","git+https://github.com/chalk/ansi-styles.git","2018-03-02T09:40:00.702Z","sindresorhus (sindresorhus@gmail.com)",9371,"MIT",true,false,false,false,false,"chalk@2.4.2,pretty-format@24.9.0,expect@24.9.0,slice-ansi@2.1.0,wrap-ansi@5.1.0"
"chalk","2.4.2","5.2.0","git+https://github.com/chalk/chalk.git","2019-01-05T15:45:52.349Z","sindresorhus (sindresorhus@gmail.com)",26924,"MIT",true,false,false,true,false,"@babel/highlight@7.18.6,@jest/console@24.9.0,@jest/core@24.9.0,@jest/reporters@24.9.0,@jest/transform@24.9.0,@testing-library/jest-dom@4.2.4,babel-jest@24.9.0,coa@2.0.2,eslint@6.8.0,fork-ts-checker-webpack-plugin@3.1.1,jest-cli@24.9.0,jest-config@24.9.0,jest-diff@24.9.0,jest-each@24.9.0,jest-jasmine2@24.9.0,jest-matcher-utils@24.9.0,jest-message-util@24.9.0,jest-resolve@24.9.0,jest-runner@24.9.0,jest-runtime@24.9.0,jest-snapshot@24.9.0,jest-util@24.9.0,jest-validate@24.9.0,jest-watch-typeahead@0.4.2,jest-watcher@24.9.0,react-dev-utils@10.2.1,inquirer@7.0.4,postcss@7.0.21,svgo@1.3.2"
"color-convert","1.9.3","2.0.1","git+https://github.com/Qix-/color-convert.git","2018-08-28T05:32:39.014Z","qix (i.am.qix@gmail.com)",26964,"MIT",true,false,false,false,false,"ansi-styles@3.2.1,color@3.2.1"
"color-name","1.1.3","2.0.0","git+ssh://git@github.com/dfcreative/color-name.git","2017-07-15T22:17:08.140Z","dfcreative (df.creative@gmail.com)","-","MIT",true,false,false,false,false,"color-convert@1.9.3,color-string@1.9.1"
"has-flag","3.0.0","5.0.1","git+https://github.com/sindresorhus/has-flag.git","2018-01-02T19:21:56.098Z","sindresorhus (sindresorhus@gmail.com)","-","MIT",true,false,false,false,false,"supports-color@6.1.0"
"supports-color","5.5.0","9.3.1","git+https://github.com/chalk/supports-color.git","2018-08-20T04:37:37.309Z","sindresorhus (sindresorhus@gmail.com)",6630,"MIT",true,false,false,false,false,"chalk@2.4.2"
"@babel/parser","7.21.3","7.21.3","https://github.com/babel/babel.git","2023-03-14T14:59:32.874Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",1871919,"MIT",true,false,false,false,false,"@babel/core@7.9.0,@babel/template@7.20.7,@babel/traverse@7.21.3,@types/babel__core@7.20.0,@types/babel__template@7.4.1,babel-eslint@10.1.0,istanbul-lib-instrument@3.3.0"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:49.880Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",7747,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:28.363Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",10507,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-async-generator-functions","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:20.100Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",20029,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-class-properties","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:44.929Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3338,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-class-static-block","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:17.136Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",9864,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-decorators","7.8.3","7.21.0","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-decorators","2020-01-13T21:42:45.480Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",12536,"MIT",true,false,false,false,false,"babel-preset-react-app@9.1.2"
"@babel/plugin-proposal-dynamic-import","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:50.843Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3668,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-export-namespace-from","7.18.9","7.18.9","https://github.com/babel/babel.git","2022-07-18T09:17:28.416Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4243,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-json-strings","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:50.990Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3437,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-logical-assignment-operators","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:20.254Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",8495,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-nullish-coalescing-operator","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:52.270Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",4412,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-numeric-separator","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:52.203Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3370,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-object-rest-spread","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:28.547Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",70495,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-optional-catch-binding","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:49:52.585Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3235,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0"
"@babel/plugin-proposal-optional-chaining","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:30:54.601Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",33213,"MIT",true,false,false,false,false,"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.20.7,@babel/preset-env@7.9.0"
"@babel/plugin-proposal-private-methods","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:48.663Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3175,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-private-property-in-object","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:19.421Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",19536,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
"@babel/plugin-proposal-unicode-property-regex","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:24.197Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3483,"MIT",true,false,false,false,false,"@babel/preset-env@7.9.0,@babel/preset-modules@0.1.5"
"@babel/plugin-syntax-async-generators","7.8.4","7.8.4","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators","2020-01-13T21:15:49.301Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",2524,"MIT",true,false,false,false,false,"@babel/plugin-proposal-async-generator-functions@7.20.7,@babel/preset-env@7.9.0"
"@babel/plugin-syntax-class-properties","7.12.13","7.12.13","https://github.com/babel/babel.git","2021-02-03T01:10:30.638Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",2682,"MIT",true,false,false,false,false,"@babel/preset-env@7.20.2"
